title,price,rating,category
It's Only the Himalayas,£45.17,star-rating Two,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,star-rating Four,Travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,star-rating Three,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,star-rating Two,Travel
Under the Tuscan Sun,£37.33,star-rating Three,Travel
A Summer In Europe,£44.34,star-rating Two,Travel
The Great Railway Bazaar,£30.54,star-rating One,Travel
A Year in Provence (Provence #1),£56.88,star-rating Four,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,star-rating One,Travel
Neither Here nor There: Travels in Europe,£38.95,star-rating Three,Travel
"1,000 Places to See Before You Die",£26.08,star-rating Five,Travel
Sharp Objects,£47.82,star-rating Four,Mystery
"In a Dark, Dark Wood",£19.63,star-rating One,Mystery
The Past Never Ends,£56.50,star-rating Four,Mystery
A Murder in Time,£16.64,star-rating One,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,star-rating Four,Mystery
The Last Mile (Amos Decker #2),£54.21,star-rating Two,Mystery
That Darkness (Gardiner and Renner #1),£13.92,star-rating One,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,star-rating One,Mystery
A Time of Torment (Charlie Parker #14),£48.35,star-rating Five,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,star-rating Two,Mystery
Poisonous (Max Revere Novels #3),£26.80,star-rating Three,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,star-rating Four,Mystery
Most Wanted,£35.28,star-rating Three,Mystery
Hide Away (Eve Duncan #20),£11.84,star-rating One,Mystery
Boar Island (Anna Pigeon #19),£59.48,star-rating Three,Mystery
The Widow,£27.26,star-rating Two,Mystery
Playing with Fire,£13.71,star-rating Three,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,star-rating Five,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,star-rating Five,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,star-rating Four,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,star-rating Four,Mystery
In the Woods (Dublin Murder Squad #1),£38.38,star-rating Two,Mystery
The Silkworm (Cormoran Strike #2),£23.05,star-rating Five,Mystery
The Exiled,£43.45,star-rating Three,Mystery
The Cuckoo's Calling (Cormoran Strike #1),£19.21,star-rating One,Mystery
Extreme Prey (Lucas Davenport #26),£25.40,star-rating Three,Mystery
Career of Evil (Cormoran Strike #3),£24.72,star-rating Two,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,star-rating Four,Mystery
The Girl You Lost,£12.29,star-rating Five,Mystery
The Girl In The Ice (DCI Erika Foster #1),£15.85,star-rating Three,Mystery
Blood Defense (Samantha Brinkman #1),£20.30,star-rating Three,Mystery
1st to Die (Women's Murder Club #1),£53.98,star-rating One,Mystery
Tipping the Velvet,£53.74,star-rating One,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,star-rating Three,Historical Fiction
A Flight of Arrows (The Pathfinders #2),£55.53,star-rating Five,Historical Fiction
The House by the Lake,£36.95,star-rating One,Historical Fiction
Mrs. Houdini,£30.25,star-rating Five,Historical Fiction
The Marriage of Opposites,£28.08,star-rating Four,Historical Fiction
Glory over Everything: Beyond The Kitchen House,£45.84,star-rating Three,Historical Fiction
"Love, Lies and Spies",£20.55,star-rating Two,Historical Fiction
A Paris Apartment,£39.01,star-rating Four,Historical Fiction
Lilac Girls,£17.28,star-rating Two,Historical Fiction
The Constant Princess (The Tudor Court #1),£16.62,star-rating Three,Historical Fiction
The Invention of Wings,£37.34,star-rating One,Historical Fiction
